Suburb,Rooms,Type,Price,Method,SellerG,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
Parkville,4,h,1340000,S,Nelson,2.6,,,,,,Melbourne City Council,Northern Metropolitan,2309
Parkville,2,h,1851000,S,Marshall,2.6,2,1,1,172,,Melbourne City Council,Northern Metropolitan,2309
Parkville,2,u,734600,SP,Woodards,2.6,2,2,1,2427,,Melbourne City Council,Northern Metropolitan,2309
Parkville,4,h,1928000,S,Jellis,2.6,4,1,0,194,186,Melbourne City Council,Northern Metropolitan,2309
Parkville,1,u,526000,SP,Nelson,2.6,1,1,1,2488,50,Melbourne City Council,Northern Metropolitan,2309
Parkville,3,h,2236000,S,Collins,2.6,4,2,1,154,196,Melbourne City Council,Northern Metropolitan,2309
Parkville,1,u,500000,S,Nelson,2.6,1,1,1,2431,,Melbourne City Council,Northern Metropolitan,2309
Parkville,3,u,1403000,S,Nelson,2.6,3,2,2,2401,132,Melbourne City Council,Northern Metropolitan,2309
Parkville,3,h,965000,SP,Woodards,2.6,3,2,2,173,,Melbourne City Council,Northern Metropolitan,2309
Parkville,3,u,1040000,S,Nelson,2.6,3,2,1,0,,Melbourne City Council,Northern Metropolitan,2309
Parkville,1,u,526000,S,Jellis,2.6,1,1,1,0,,Melbourne City Council,Northern Metropolitan,2309
Parkville,2,u,750000,SP,Jellis,2.6,2,1,1,2193,,Melbourne City Council,Northern Metropolitan,2309
Pascoe Vale,3,h,1120000,S,Brad,9.9,2,1,2,50,141,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,770000,S,Nelson,9.9,3,1,4,560,120,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,455000,SP,Eview,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,PN,Nelson,9.9,2,1,1,158,84,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,915000,S,New,9.9,2,1,3,629,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,,SN,D'Aprano,9.9,2,1,1,157,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,975000,S,Brad,9.9,4,1,1,733,159,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,770000,S,Brad,9.9,3,1,0,464,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,780000,S,Brad,9.9,3,1,1,446,115,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,1276000,S,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,u,600000,S,Nelson,9.9,3,1,1,204,124,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,1465000,S,Nelson,9.9,3,1,2,956,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,,SP,Nelson,9.9,2,2,2,420,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Nelson,9.9,3,1,1,409,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,955000,S,Nelson,9.9,4,2,2,686,135,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,767000,S,Brad,9.9,3,1,1,505,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,1196000,S,Nelson,9.9,4,2,2,559,281,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,731000,S,Brad,9.9,3,1,2,568,111,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,555000,S,Brad,9.9,2,1,2,336,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,u,585000,S,Jellis,9.9,3,1,1,180,98,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,480000,S,Ray,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,480000,PI,Nelson,9.9,2,1,1,113,94,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,t,605000,PI,Brad,9.9,4,2,1,215,157,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,495000,SP,Brad,9.9,3,1,2,205,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,738000,SP,Brad,9.9,3,1,1,821,106,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,386000,S,D'Aprano,9.9,2,1,1,111,67,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,517500,S,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,452000,S,hockingstuart,9.9,2,1,1,159,87,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,522500,S,Raine,9.9,3,1,1,192,121,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,601500,S,hockingstuart,9.9,2,1,1,253,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,1305000,S,Nelson,9.9,3,1,1,735,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,3,1,2,520,110,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,741000,S,Raine,9.9,2,1,2,520,300,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,PI,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,495000,S,Brad,9.9,2,1,1,207,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,5,h,1345000,S,Brad,9.9,5,2,5,759,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,530000,SP,hockingstuart,9.9,2,1,1,156,98,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,815000,S,Brad,9.9,2,1,1,438,94,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,930000,PI,Brad,9.9,4,1,3,746,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,521500,SP,Jellis,9.9,2,1,1,0,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,730000,VB,Brad,9.9,4,1,3,683,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,775000,S,Brad,9.9,3,1,1,406,103,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,495000,SP,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,990000,S,Harcourts,9.9,4,2,2,770,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,5,h,950000,VB,Nelson,9.9,5,2,2,705,166,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,915000,S,New,9.9,2,1,3,629,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,S,Melbourne,9.9,3,1,1,637,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,900000,S,Brad,9.9,3,1,1,570,139,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,476450,S,Eview,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,810000,S,Brad,9.9,3,1,1,470,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,920000,S,Brad,9.9,2,1,2,650,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,590000,S,Ray,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,835000,PI,Nelson,9.9,3,1,2,422,132,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,790000,S,Brad,9.9,3,3,1,291,175,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,810000,VB,Nelson,9.9,4,2,1,455,147,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,667500,SP,Brad,9.9,3,2,2,167,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,500000,VB,Brad,9.9,2,1,1,147,109,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,485000,S,Brad,9.9,2,1,1,139,74,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,S,Nelson,9.9,3,1,2,486,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,488000,S,Nelson,9.9,3,1,2,219,84,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,900000,SP,Nelson,9.9,3,2,2,608,168,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,,SP,Raine&Horne,9.9,2,1,1,0,132,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,2,1,2,585,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,680000,PI,hockingstuart,9.9,2,1,2,590,95,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,683500,S,hockingstuart,9.9,3,1,2,590,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,5,h,977000,S,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,SP,Nelson,9.9,2,1,1,202,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,590000,PI,Nelson,9.9,3,2,2,191,142,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,770000,SP,Barry,9.9,3,1,3,464,124,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,815000,S,Nelson,9.9,3,1,2,628,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,975000,SP,Brad,9.9,3,1,3,686,151,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,970000,S,Nelson,9.9,3,2,1,535,154,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,u,515000,SP,hockingstuart,9.9,3,1,2,0,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,985000,S,D'Aprano,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,515000,SP,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,640000,SP,hockingstuart,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,940000,S,Nelson,9.9,3,1,1,589,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,770000,S,hockingstuart,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,600000,S,Eview,9.9,3,3,1,205,107,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,510000,S,D'Aprano,9.9,2,1,1,110,91,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,3,2,2,504,98,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,750000,SP,hockingstuart,9.9,3,2,2,540,146,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,822000,SP,hockingstuart,9.9,4,2,2,250,194,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,983000,S,Brad,9.9,3,1,2,650,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Nelson,9.9,3,1,2,681,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,u,,S,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,600000,VB,Jellis,9.9,3,1,3,490,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,900000,S,hockingstuart,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,S,Nelson,9.9,3,2,1,316,163,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,t,640000,VB,Nelson,9.9,3,2,2,353,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,470000,SP,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,430000,VB,Trimson,9.9,3,2,1,146,106,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,540000,VB,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,1350000,PI,Nelson,9.9,4,2,2,646,287,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,540000,S,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,818000,S,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SP,hockingstuart,9.9,3,1,1,581,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,780000,VB,Brad,9.9,4,1,1,556,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,5,t,,PI,Barry,9.9,5,4,3,188,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,474000,S,D'Aprano,9.9,2,1,1,558,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,810000,S,Brad,9.9,2,1,1,783,94,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,723000,S,Stockdale,9.9,4,1,2,485,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,550500,S,Nelson,9.9,2,1,2,135,100,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,610000,S,Ray,9.9,2,1,1,169,109,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,SN,Barry,9.9,3,1,1,143,86,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,1000000,SP,Brad,9.9,3,1,2,858,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,u,533000,SP,Brad,9.9,3,2,2,197,111,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,SP,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,630000,S,YPA,9.9,2,1,1,602,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,805000,S,hockingstuart,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,410000,VB,Brad,9.9,2,1,1,105,88,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,600000,PI,Re,9.9,3,1,4,557,111,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,,PI,Barry,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,616000,S,Nelson,9.9,3,1,1,190,108,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,792000,S,Nelson,9.9,3,1,2,582,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,t,800000,SP,Eview,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,750000,S,Barry,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,960000,S,hockingstuart,9.9,3,1,2,641,111,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,985000,SP,Ray,9.9,4,2,2,511,182,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,820000,VB,hockingstuart,9.9,4,1,1,420,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,,SN,Barry,9.9,2,1,2,176,100,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,,SN,Barry,9.9,2,1,1,0,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,3,1,2,642,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,670000,S,hockingstuart,9.9,3,1,1,596,145,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,,VB,hockingstuart,9.9,3,2,1,129,140,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,855000,S,Brad,9.9,2,1,2,659,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,567000,S,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,t,665000,SP,New,9.9,4,2,2,148,141,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,440000,PI,Barry,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,690000,S,Brad,9.9,3,1,1,507,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,560000,VB,Nelson,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,880000,S,Nelson,9.9,3,2,2,588,106,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,700000,S,Nelson,9.9,3,1,2,449,104,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,600000,VB,hockingstuart,9.9,3,2,1,122,139,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,721000,S,Alexkarbon,9.9,3,1,2,542,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,720000,SP,hockingstuart,9.9,2,1,1,428,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,730000,PI,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,910000,PI,Brad,9.9,4,2,0,934,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,1570000,S,Barry,9.9,2,1,1,746,265,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,525500,S,Considine,9.9,2,1,1,111,84,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,555000,S,Brad,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,612500,S,Brad,9.9,3,1,1,522,132,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,1,u,248500,S,Brad,9.9,1,1,1,49,49,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,960000,S,Brad,9.9,3,2,2,501,501,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,1085000,S,Ray,9.9,3,1,2,847,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,t,,PI,Barry,9.9,2,1,1,103,130,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,650000,VB,Nelson,9.9,3,2,1,266,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,650000,SP,Nelson,9.9,4,1,2,410,141,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,t,652500,S,Ray,9.9,,,,,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,,SN,Barry,9.9,3,1,1,702,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,4,h,937000,S,Nelson,9.9,4,2,2,708,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,u,360000,VB,Barry,9.9,2,1,1,119,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,500000,VB,hockingstuart,9.9,3,1,2,191,92,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,2,h,775000,S,Nelson,9.9,2,1,2,527,,Moreland City Council,Northern Metropolitan,7485
Pascoe Vale,3,h,599000,SP,Ray,9.9,3,1,1,534,100,Moreland City Council,Northern Metropolitan,7485
Port Melbourne,2,u,,PI,RT,3.8,2,1,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1100000,S,Biggin,3.8,2,2,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,650000,S,Greg,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1681000,S,Marshall,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,,S,Marshall,3.8,4,2,2,349,349,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,,S,Greg,3.8,3,2,1,292,192,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1240000,PI,Leased,3.8,2,1,0,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,2365000,S,hockingstuart,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,u,1380000,S,Cayzer,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,6,h,1800000,VB,Greg,3.8,6,4,2,353,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1150000,S,Marshall,3.8,3,2,1,0,134,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,985000,S,Marshall,3.8,3,1,0,171,167,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,,PI,Purplebricks,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,u,1200000,SP,Wilson,3.8,3,2,2,0,139,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1340000,VB,Chisholm,3.8,2,2,2,21700,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,2200000,S,Greg,3.8,3,2,0,250,280,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,2105000,S,Cayzer,3.8,4,2,3,611,181,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,550000,S,Buxton,3.8,2,1,1,0,57,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,u,,PI,Marshall,3.8,3,2,2,5865,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1250000,VB,hockingstuart,3.8,2,2,2,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,575000,VB,hockingstuart,3.8,2,2,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,1915000,S,Marshall,3.8,4,3,1,323,237,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,850000,SP,Buxton,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,,SN,Chisholm,3.8,3,2,1,151,146,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1630000,S,Marshall,3.8,3,2,2,135,135,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1000000,S,Marshall,3.8,2,2,0,96,108,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1470000,S,Marshall,3.8,3,1,0,153,109,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,725000,VB,Cayzer,3.8,2,2,2,0,87,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1234500,S,hockingstuart,3.8,3,1,0,183,185,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,600000,VB,Greg,3.8,2,1,1,0,74,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1342000,S,Chisholm,3.8,3,2,2,173,137,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,1,u,500000,S,Greg,3.8,1,1,1,0,60,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,795000,S,Cayzer,3.8,2,2,1,579,84,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,590000,VB,Marshall,3.8,2,2,1,0,70,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,1502000,S,Chisholm,3.8,4,1,2,146,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,t,,SN,Cayzer,3.8,2,1,2,107,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,,S,RT,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1100000,SP,Cayzer,3.8,2,2,1,0,110,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1421000,S,Biggin,3.8,3,2,1,215,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,,SP,Parkinson,3.8,3,2,0,353,189,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,845000,SP,RT,3.8,2,2,2,2166,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,720000,S,Buxton,3.8,2,1,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1275000,S,Marshall,3.8,2,2,1,115,115,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1000000,VB,Marshall,3.8,2,1,1,90,106,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,1820000,S,Marshall,3.8,4,2,1,212,158,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,1,u,420000,S,Buxton,3.8,1,1,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,600000,PI,Chisholm,3.8,2,2,1,995,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1916000,S,Greg,3.8,2,2,1,190,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,1,u,577000,S,Chisholm,3.8,1,1,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,655000,S,Biggin,3.8,2,2,1,0,83,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1016500,S,hockingstuart,3.8,2,1,1,131,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,1,u,,SN,Morleys,3.8,1,1,1,0,58,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1350000,S,RT,3.8,2,1,1,195,94,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,u,1082000,S,hockingstuart,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1560000,S,Greg,3.8,3,2,2,241,131,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,,S,Marshall,3.8,3,2,1,172,100,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1035000,PI,RT,3.8,2,2,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1070000,S,RT,3.8,2,2,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1060000,S,hockingstuart,3.8,2,1,0,106,70,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,1610000,S,Kay,3.8,2,2,2,0,104,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,910000,S,Cayzer,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1485000,S,hockingstuart,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1101000,S,Cayzer,3.8,2,1,0,152,71,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,4,h,,S,Marshall,3.8,4,3,2,0,157,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,880000,S,Greg,3.8,2,1,2,163,83,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,730000,VB,MICM,3.8,2,1,1,0,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,,PN,Scott,3.8,3,2,1,305,134,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,u,1190000,S,Wilson,3.8,,,,,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1080000,S,Scott,3.8,2,1,0,105,70,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,1115000,S,Chisholm,3.8,2,1,0,120,76,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,516000,SP,Cayzer,3.8,2,1,1,0,70,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,h,1753000,S,Frank,3.8,3,2,1,225,153,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,3,t,,SN,Frank,3.8,3,1,1,0,120,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,825000,S,Chisholm,3.8,2,1,0,111,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,u,820000,VB,Cayzer,3.8,2,2,2,2166,,Melbourne City Council,Southern Metropolitan,8648
Port Melbourne,2,h,900000,SP,Cayzer,3.8,2,1,0,124,70,Melbourne City Council,Southern Metropolitan,8648
